cotacao_compra,cotacao_venda,data_e_hora_da_cotacao
2814.0,2828.0,1984-12-03 11:29:00
2814.0,2828.0,1984-12-03 16:38:00
2867.0,2881.0,1984-12-04 11:17:00
2867.0,2881.0,1984-12-05 11:31:00
2867.0,2881.0,1984-12-05 12:40:00
2908.0,2923.0,1984-12-05 18:50:00
2908.0,2923.0,1984-12-06 16:30:00
2908.0,2923.0,1984-12-07 16:04:00
2950.0,2965.0,1984-12-10 17:13:00
2950.0,2965.0,1984-12-11 17:11:00
2950.0,2965.0,1984-12-12 16:17:00
2950.0,2965.0,1984-12-13 18:05:00
2993.0,3008.0,1984-12-14 16:29:00
2993.0,3008.0,1984-12-17 17:08:00
2993.0,3008.0,1984-12-18 16:47:00
2993.0,3008.0,1984-12-19 16:42:00
3041.0,3056.0,1984-12-20 16:56:00
3041.0,3056.0,1984-12-21 16:18:00
3041.0,3056.0,1984-12-24 10:52:00
3091.0,3106.0,1984-12-26 16:11:00
3091.0,3106.0,1984-12-27 16:20:00
3168.0,3184.0,1984-12-28 16:35:00
3228.0,3244.0,1985-01-07 16:45:00
3228.0,3244.0,1985-01-08 16:43:00
3228.0,3244.0,1985-01-09 16:58:00
3228.0,3244.0,1985-01-10 17:22:00
3301.0,3318.0,1985-01-11 16:31:00
3301.0,3318.0,1985-01-14 16:59:00
3301.0,3318.0,1985-01-15 16:16:00
3376.0,3393.0,1985-01-16 18:53:00
3376.0,3393.0,1985-01-17 17:59:00
3376.0,3393.0,1985-01-18 17:15:00
3376.0,3393.0,1985-01-21 16:14:00
3441.0,3458.0,1985-01-22 16:44:00
3441.0,3458.0,1985-01-23 16:33:00
3441.0,3458.0,1985-01-24 16:28:00
3441.0,3458.0,1985-01-25 16:06:00
3494.0,3511.0,1985-01-28 18:04:00
3494.0,3511.0,1985-01-29 17:00:00
3494.0,3511.0,1985-01-30 15:53:00
3567.0,3585.0,1985-01-31 16:11:00
3567.0,3585.0,1985-02-01 16:08:00
3567.0,3585.0,1985-02-04 15:37:00
3567.0,3585.0,1985-02-05 20:59:00
3567.0,3585.0,1985-02-06 16:03:00
3638.0,3656.0,1985-02-07 15:45:00
3638.0,3656.0,1985-02-08 15:46:00
3710.0,3729.0,1985-02-11 15:48:00
3710.0,3729.0,1985-02-12 15:30:00
3710.0,3729.0,1985-02-13 15:33:00
3783.0,3802.0,1985-02-14 16:26:00
3783.0,3802.0,1985-02-15 16:29:00
3783.0,3802.0,1985-02-20 15:43:00
3856.0,3875.0,1985-02-21 15:42:00
3856.0,3875.0,1985-02-22 16:01:00
3916.0,3936.0,1985-02-25 16:24:00
3916.0,3936.0,1985-02-26 16:18:00
3916.0,3936.0,1985-02-27 15:55:00
3931.0,3951.0,1985-02-28 15:58:00
3931.0,3951.0,1985-03-01 15:29:00
3931.0,3951.0,1985-03-04 15:42:00
3997.0,4017.0,1985-03-05 15:43:00
3997.0,4017.0,1985-03-06 15:51:00
3997.0,4017.0,1985-03-07 16:01:00
3997.0,4017.0,1985-03-08 15:42:00
4068.0,4088.0,1985-03-11 16:18:00
4068.0,4088.0,1985-03-12 16:08:00
4068.0,4088.0,1985-03-13 15:30:00
4140.0,4161.0,1985-03-14 15:59:00
4140.0,4161.0,1985-03-15 16:07:00
4140.0,4161.0,1985-03-18 15:56:00
4140.0,4161.0,1985-03-19 15:56:00
4180.0,4200.0,1985-03-20 16:17:00
4180.0,4200.0,1985-03-21 16:09:00
4230.0,4250.0,1985-03-22 17:07:00
4270.0,4290.0,1985-03-25 16:19:00
4310.0,4330.0,1985-03-26 16:08:00
4350.0,4370.0,1985-03-27 16:23:00
4380.0,4400.0,1985-03-28 16:17:00
4430.0,4450.0,1985-03-29 16:08:00
