date,name,type,scope,notes
2010-01-01,Confraternização Universal (Ano Novo),holiday,national,
2010-04-02,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2010-04-21,Tiradentes,holiday,national,
2010-05-01,Dia do Trabalho,holiday,national,
2010-09-06,Ponte do feriado: Independência do Brasil,bridge,national,Regra: feriado na terça → segunda é ponte
2010-09-07,Independência do Brasil,holiday,national,
2010-10-11,Ponte do feriado: Nossa Senhora Aparecida,bridge,national,Regra: feriado na terça → segunda é ponte
2010-10-12,Nossa Senhora Aparecida,holiday,national,
2010-11-01,Ponte do feriado: Finados,bridge,national,Regra: feriado na terça → segunda é ponte
2010-11-02,Finados,holiday,national,
2010-11-15,Proclamação da República,holiday,national,
2010-12-25,Natal,holiday,national,
2011-01-01,Confraternização Universal (Ano Novo),holiday,national,
2011-04-21,Tiradentes,holiday,national,
2011-04-22,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2011-05-01,Dia do Trabalho,holiday,national,
2011-09-07,Independência do Brasil,holiday,national,
2011-10-12,Nossa Senhora Aparecida,holiday,national,
2011-11-02,Finados,holiday,national,
2011-11-14,Ponte do feriado: Proclamação da República,bridge,national,Regra: feriado na terça → segunda é ponte
2011-11-15,Proclamação da República,holiday,national,
2011-12-25,Natal,holiday,national,
2012-01-01,Confraternização Universal (Ano Novo),holiday,national,
2012-04-06,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2012-04-21,Tiradentes,holiday,national,
2012-04-30,Ponte do feriado: Dia do Trabalho,bridge,national,Regra: feriado na terça → segunda é ponte
2012-05-01,Dia do Trabalho,holiday,national,
2012-09-07,Independência do Brasil,holiday,national,
2012-10-12,Nossa Senhora Aparecida,holiday,national,
2012-11-02,Finados,holiday,national,
2012-11-15,Proclamação da República,holiday,national,
2012-11-16,Ponte do feriado: Proclamação da República,bridge,national,Regra: feriado na quinta → sexta é ponte
2012-12-24,Ponte do feriado: Natal,bridge,national,Regra: feriado na terça → segunda é ponte
2012-12-25,Natal,holiday,national,
2012-12-31,Ponte do feriado: Confraternização Universal (Ano Novo),bridge,national,Regra: feriado na terça → segunda é ponte
2013-01-01,Confraternização Universal (Ano Novo),holiday,national,
2013-03-29,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2013-04-21,Tiradentes,holiday,national,
2013-05-01,Dia do Trabalho,holiday,national,
2013-09-07,Independência do Brasil,holiday,national,
2013-10-12,Nossa Senhora Aparecida,holiday,national,
2013-11-02,Finados,holiday,national,
2013-11-15,Proclamação da República,holiday,national,
2013-12-25,Natal,holiday,national,
2014-01-01,Confraternização Universal (Ano Novo),holiday,national,
2014-04-18,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2014-04-21,Tiradentes,holiday,national,
2014-05-01,Dia do Trabalho,holiday,national,
2014-05-02,Ponte do feriado: Dia do Trabalho,bridge,national,Regra: feriado na quinta → sexta é ponte
2014-09-07,Independência do Brasil,holiday,national,
2014-10-12,Nossa Senhora Aparecida,holiday,national,
2014-11-02,Finados,holiday,national,
2014-11-15,Proclamação da República,holiday,national,
2014-12-25,Natal,holiday,national,
2014-12-26,Ponte do feriado: Natal,bridge,national,Regra: feriado na quinta → sexta é ponte
2015-01-01,Confraternização Universal (Ano Novo),holiday,national,
2015-01-02,Ponte do feriado: Confraternização Universal (Ano Novo),bridge,national,Regra: feriado na quinta → sexta é ponte
2015-04-03,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2015-04-20,Ponte do feriado: Tiradentes,bridge,national,Regra: feriado na terça → segunda é ponte
2015-04-21,Tiradentes,holiday,national,
2015-05-01,Dia do Trabalho,holiday,national,
2015-09-07,Independência do Brasil,holiday,national,
2015-10-12,Nossa Senhora Aparecida,holiday,national,
2015-11-02,Finados,holiday,national,
2015-11-15,Proclamação da República,holiday,national,
2015-12-25,Natal,holiday,national,
2016-01-01,Confraternização Universal (Ano Novo),holiday,national,
2016-03-25,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2016-04-21,Tiradentes,holiday,national,
2016-04-22,Ponte do feriado: Tiradentes,bridge,national,Regra: feriado na quinta → sexta é ponte
2016-05-01,Dia do Trabalho,holiday,national,
2016-09-07,Independência do Brasil,holiday,national,
2016-10-12,Nossa Senhora Aparecida,holiday,national,
2016-11-02,Finados,holiday,national,
2016-11-14,Ponte do feriado: Proclamação da República,bridge,national,Regra: feriado na terça → segunda é ponte
2016-11-15,Proclamação da República,holiday,national,
2016-12-25,Natal,holiday,national,
2017-01-01,Confraternização Universal (Ano Novo),holiday,national,
2017-04-14,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2017-04-21,Tiradentes,holiday,national,
2017-05-01,Dia do Trabalho,holiday,national,
2017-09-07,Independência do Brasil,holiday,national,
2017-09-08,Ponte do feriado: Independência do Brasil,bridge,national,Regra: feriado na quinta → sexta é ponte
2017-10-12,Nossa Senhora Aparecida,holiday,national,
2017-10-13,Ponte do feriado: Nossa Senhora Aparecida,bridge,national,Regra: feriado na quinta → sexta é ponte
2017-11-02,Finados,holiday,national,
2017-11-03,Ponte do feriado: Finados,bridge,national,Regra: feriado na quinta → sexta é ponte
2017-11-15,Proclamação da República,holiday,national,
2017-12-25,Natal,holiday,national,
2018-01-01,Confraternização Universal (Ano Novo),holiday,national,
2018-03-30,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2018-04-21,Tiradentes,holiday,national,
2018-04-30,Ponte do feriado: Dia do Trabalho,bridge,national,Regra: feriado na terça → segunda é ponte
2018-05-01,Dia do Trabalho,holiday,national,
2018-09-07,Independência do Brasil,holiday,national,
2018-10-12,Nossa Senhora Aparecida,holiday,national,
2018-11-02,Finados,holiday,national,
2018-11-15,Proclamação da República,holiday,national,
2018-11-16,Ponte do feriado: Proclamação da República,bridge,national,Regra: feriado na quinta → sexta é ponte
2018-12-24,Ponte do feriado: Natal,bridge,national,Regra: feriado na terça → segunda é ponte
2018-12-25,Natal,holiday,national,
2018-12-31,Ponte do feriado: Confraternização Universal (Ano Novo),bridge,national,Regra: feriado na terça → segunda é ponte
2019-01-01,Confraternização Universal (Ano Novo),holiday,national,
2019-04-19,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2019-04-21,Tiradentes,holiday,national,
2019-05-01,Dia do Trabalho,holiday,national,
2019-09-07,Independência do Brasil,holiday,national,
2019-10-12,Nossa Senhora Aparecida,holiday,national,
2019-11-02,Finados,holiday,national,
2019-11-15,Proclamação da República,holiday,national,
2019-12-25,Natal,holiday,national,
2020-01-01,Confraternização Universal (Ano Novo),holiday,national,
2020-04-10,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2020-04-20,Ponte do feriado: Tiradentes,bridge,national,Regra: feriado na terça → segunda é ponte
2020-04-21,Tiradentes,holiday,national,
2020-05-01,Dia do Trabalho,holiday,national,
2020-09-07,Independência do Brasil,holiday,national,
2020-10-12,Nossa Senhora Aparecida,holiday,national,
2020-11-02,Finados,holiday,national,
2020-11-15,Proclamação da República,holiday,national,
2020-12-25,Natal,holiday,national,
2021-01-01,Confraternização Universal (Ano Novo),holiday,national,
2021-04-02,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2021-04-21,Tiradentes,holiday,national,
2021-05-01,Dia do Trabalho,holiday,national,
2021-09-06,Ponte do feriado: Independência do Brasil,bridge,national,Regra: feriado na terça → segunda é ponte
2021-09-07,Independência do Brasil,holiday,national,
2021-10-11,Ponte do feriado: Nossa Senhora Aparecida,bridge,national,Regra: feriado na terça → segunda é ponte
2021-10-12,Nossa Senhora Aparecida,holiday,national,
2021-11-01,Ponte do feriado: Finados,bridge,national,Regra: feriado na terça → segunda é ponte
2021-11-02,Finados,holiday,national,
2021-11-15,Proclamação da República,holiday,national,
2021-12-25,Natal,holiday,national,
2022-01-01,Confraternização Universal (Ano Novo),holiday,national,
2022-04-15,Paixão de Cristo (Sexta-feira Santa),holiday,national,
2022-04-21,Tiradentes,holiday,national,
2022-04-22,Ponte do feriado: Tiradentes,bridge,national,Regra: feriado na quinta → sexta é ponte
2022-05-01,Dia do Trabalho,holiday,national,
2022-09-07,Independência do Brasil,holiday,national,
2022-10-12,Nossa Senhora Aparecida,holiday,national,
2022-11-02,Finados,holiday,national,
2022-11-14,Ponte do feriado: Proclamação da República,bridge,national,Regra: feriado na terça → segunda é ponte
